"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
"Total"	"Virginia"	"51"	"2005"	"2005"			967	7577105	12.76	12.35
	"Virginia"	"51"	"2006"	"2006"	"Drug-induced causes"	"D"	670	7673725	8.73	8.55
	"Virginia"	"51"	"2006"	"2006"	"Alcohol-induced causes"	"A"	348	7673725	4.53	4.30
"Total"	"Virginia"	"51"	"2006"	"2006"			1018	7673725	13.27	12.86
	"Virginia"	"51"	"2007"	"2007"	"Drug-induced causes"	"D"	713	7751000	9.20	9.06
	"Virginia"	"51"	"2007"	"2007"	"Alcohol-induced causes"	"A"	445	7751000	5.74	5.28
"Total"	"Virginia"	"51"	"2007"	"2007"			1158	7751000	14.94	14.31
	"Virginia"	"51"	"2008"	"2008"	"Drug-induced causes"	"D"	730	7833496	9.32	9.16
	"Virginia"	"51"	"2008"	"2008"	"Alcohol-induced causes"	"A"	460	7833496	5.87	5.38
"Total"	"Virginia"	"51"	"2008"	"2008"			1190	7833496	15.19	14.52
	"Virginia"	"51"	"2009"	"2009"	"Drug-induced causes"	"D"	700	7925937	8.83	8.71
	"Virginia"	"51"	"2009"	"2009"	"Alcohol-induced causes"	"A"	418	7925937	5.27	4.79
"Total"	"Virginia"	"51"	"2009"	"2009"			1118	7925937	14.11	13.49
	"Virginia"	"51"	"2010"	"2010"	"Drug-induced causes"	"D"	571	8001024	7.14	6.98
	"Virginia"	"51"	"2010"	"2010"	"Alcohol-induced causes"	"A"	414	8001024	5.17	4.71
"Total"	"Virginia"	"51"	"2010"	"2010"			985	8001024	12.31	11.69
	"Virginia"	"51"	"2011"	"2011"	"Drug-induced causes"	"D"	817	8096604	10.09	9.96
	"Virginia"	"51"	"2011"	"2011"	"Alcohol-induced causes"	"A"	495	8096604	6.11	5.46
"Total"	"Virginia"	"51"	"2011"	"2011"			1312	8096604	16.20	15.43
	"Virginia"	"51"	"2012"	"2012"	"Drug-induced causes"	"D"	755	8185867	9.22	9.16
	"Virginia"	"51"	"2012"	"2012"	"Alcohol-induced causes"	"A"	531	8185867	6.49	5.75
"Total"	"Virginia"	"51"	"2012"	"2012"			1286	8185867	15.71	14.90
	"Virginia"	"51"	"2013"	"2013"	"Drug-induced causes"	"D"	890	8260405	10.77	10.63
	"Virginia"	"51"	"2013"	"2013"	"Alcohol-induced causes"	"A"	496	8260405	6.00	5.22
"Total"	"Virginia"	"51"	"2013"	"2013"			1386	8260405	16.78	15.84
	"Virginia"	"51"	"2014"	"2014"	"Drug-induced causes"	"D"	1002	8326289	12.03	11.96
	"Virginia"	"51"	"2014"	"2014"	"Alcohol-induced causes"	"A"	550	8326289	6.61	5.78
"Total"	"Virginia"	"51"	"2014"	"2014"			1552	8326289	18.64	17.75
	"Virginia"	"51"	"2015"	"2015"	"Drug-induced causes"	"D"	1070	8382993	12.76	12.71
	"Virginia"	"51"	"2015"	"2015"	"Alcohol-induced causes"	"A"	655	8382993	7.81	6.86
"Total"	"Virginia"	"51"	"2015"	"2015"			1725	8382993	20.58	19.56
	"Virginia"	"51"	"2016"	"2016"	"Drug-induced causes"	"D"	1444	8411808	17.17	17.19
	"Virginia"	"51"	"2016"	"2016"	"Alcohol-induced causes"	"A"	673	8411808	8.00	7.02
"Total"	"Virginia"	"51"	"2016"	"2016"			2117	8411808	25.17	24.19
	"Virginia"	"51"	"2017"	"2017"	"Drug-induced causes"	"D"	1558	8470020	18.39	18.42
	"Virginia"	"51"	"2017"	"2017"	"Alcohol-induced causes"	"A"	696	8470020	8.22	7.05
"Total"	"Virginia"	"51"	"2017"	"2017"			2254	8470020	26.61	25.48
"Total"	"Virginia"	"51"					23199	148302749	15.64	15.03
	"Washington"	"53"	"1999"	"1999"	"Drug-induced causes"	"D"	596	5842564	10.20	10.00
	"Washington"	"53"	"1999"	"1999"	"Alcohol-induced causes"	"A"	566	5842564	9.69	10.00
"Total"	"Washington"	"53"	"1999"	"1999"			1162	5842564	19.89	20.01
	"Washington"	"53"	"2000"	"2000"	"Drug-induced causes"	"D"	599	5894121	10.16	9.94
	"Washington"	"53"	"2000"	"2000"	"Alcohol-induced causes"	"A"	524	5894121	8.89	9.12
"Total"	"Washington"	"53"	"2000"	"2000"			1123	5894121	19.05	19.04
	"Washington"	"53"	"2001"	"2001"	"Drug-induced causes"	"D"	547	5985722	9.14	8.93
	"Washington"	"53"	"2001"	"2001"	"Alcohol-induced causes"	"A"	611	5985722	10.21	10.31
"Total"	"Washington"	"53"	"2001"	"2001"			1158	5985722	19.35	19.26
	"Washington"	"53"	"2002"	"2002"	"Drug-induced causes"	"D"	694	6052349	11.47	11.22
	"Washington"	"53"	"2002"	"2002"	"Alcohol-induced causes"	"A"	574	6052349	9.48	9.46
"Total"	"Washington"	"53"	"2002"	"2002"			1268	6052349	20.95	20.70
	"Washington"	"53"	"2003"	"2003"	"Drug-induced causes"	"D"	752	6104115	12.32	12.00
	"Washington"	"53"	"2003"	"2003"	"Alcohol-induced causes"	"A"	629	6104115	10.30	10.13
"Total"	"Washington"	"53"	"2003"	"2003"			1381	6104115	22.62	22.15
	"Washington"	"53"	"2004"	"2004"	"Drug-induced causes"	"D"	888	6178645	14.37	13.99
	"Washington"	"53"	"2004"	"2004"	"Alcohol-induced causes"	"A"	633	6178645	10.24	9.87
"Total"	"Washington"	"53"	"2004"	"2004"			1521	6178645	24.62	23.87
	"Washington"	"53"	"2005"	"2005"	"Drug-induced causes"	"D"	931	6257305	14.88	14.32
	"Washington"	"53"	"2005"	"2005"	"Alcohol-induced causes"	"A"	616	6257305	9.84	9.44
"Total"	"Washington"	"53"	"2005"	"2005"			1547	6257305	24.72	23.78
	"Washington"	"53"	"2006"	"2006"	"Drug-induced causes"	"D"	970	6370753	15.23	14.70
	"Washington"	"53"	"2006"	"2006"	"Alcohol-induced causes"	"A"	663	6370753	10.41	9.79
"Total"	"Washington"	"53"	"2006"	"2006"			1633	6370753	25.63	24.51
	"Washington"	"53"	"2007"	"2007"	"Drug-induced causes"	"D"	1003	6461587	15.52	14.96
	"Washington"	"53"	"2007"	"2007"	"Alcohol-induced causes"	"A"	718	6461587	11.11	10.38
"Total"	"Washington"	"53"	"2007"	"2007"			1721	6461587	26.63	25.35
	"Washington"	"53"	"2008"	"2008"	"Drug-induced causes"	"D"	1058	6562231	16.12	15.48
	"Washington"	"53"	"2008"	"2008"	"Alcohol-induced causes"	"A"	780	6562231	11.89	11.02
"Total"	"Washington"	"53"	"2008"	"2008"			1838	6562231	28.01	26.48
	"Washington"	"53"	"2009"	"2009"	"Drug-induced causes"	"D"	1031	6667426	15.46	14.91
	"Washington"	"53"	"2009"	"2009"	"Alcohol-induced causes"	"A"	815	6667426	12.22	11.13
"Total"	"Washington"	"53"	"2009"	"2009"			1846	6667426	27.69	26.06
	"Washington"	"53"	"2010"	"2010"	"Drug-induced causes"	"D"	962	6724540	14.31	13.78
	"Washington"	"53"	"2010"	"2010"	"Alcohol-induced causes"	"A"	850	6724540	12.64	11.40
"Total"	"Washington"	"53"	"2010"	"2010"			1812	6724540	26.95	25.18
	"Washington"	"53"	"2011"	"2011"	"Drug-induced causes"	"D"	1050	6830038	15.37	14.83
	"Washington"	"53"	"2011"	"2011"	"Alcohol-induced causes"	"A"	870	6830038	12.74	11.33
"Total"	"Washington"	"53"	"2011"	"2011"			1920	6830038	28.11	26.15
	"Washington"	"53"	"2012"	"2012"	"Drug-induced causes"	"D"	1033	6897012	14.98	14.33
	"Washington"	"53"	"2012"	"2012"	"Alcohol-induced causes"	"A"	960	6897012	13.92	12.32
"Total"	"Washington"	"53"	"2012"	"2012"			1993	6897012	28.90	26.70
	"Washington"	"53"	"2013"	"2013"	"Drug-induced causes"	"D"	1042	6971406	14.95	14.46
	"Washington"	"53"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1042	6971406	14.95	13.25
"Total"	"Washington"	"53"	"2013"	"2013"			2084	6971406	29.89	27.72
	"Washington"	"53"	"2014"	"2014"	"Drug-induced causes"	"D"	1058	7061530	14.98	14.38
	"Washington"	"53"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1039	7061530	14.71	12.88
"Total"	"Washington"	"53"	"2014"	"2014"			2097	7061530	29.70	27.27
	"Washington"	"53"	"2015"	"2015"	"Drug-induced causes"	"D"	1189	7170351	16.58	16.01
	"Washington"	"53"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1100	7170351	15.34	13.36
"Total"	"Washington"	"53"	"2015"	"2015"			2289	7170351	31.92	29.36
	"Washington"	"53"	"2016"	"2016"	"Drug-induced causes"	"D"	1212	7288000	16.63	15.91
	"Washington"	"53"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1018	7288000	13.97	12.20
"Total"	"Washington"	"53"	"2016"	"2016"			2230	7288000	30.60	28.10
	"Washington"	"53"	"2017"	"2017"	"Drug-induced causes"	"D"	1309	7405743	17.68	16.85
	"Washington"	"53"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1152	7405743	15.56	13.40
"Total"	"Washington"	"53"	"2017"	"2017"			2461	7405743	33.23	30.25
"Total"	"Washington"	"53"					33084	124725438	26.53	25.21
	"West Virginia"	"54"	"1999"	"1999"	"Drug-induced causes"	"D"	80	1811799	4.42	4.40
	"West Virginia"	"54"	"1999"	"1999"	"Alcohol-induced causes"	"A"	117	1811799	6.46	5.97
"Total"	"West Virginia"	"54"	"1999"	"1999"			197	1811799	10.87	10.34
	"West Virginia"	"54"	"2000"	"2000"	"Drug-induced causes"	"D"	122	1808344	6.75	6.70
	"West Virginia"	"54"	"2000"	"2000"	"Alcohol-induced causes"	"A"	146	1808344	8.07	7.32
"Total"	"West Virginia"	"54"	"2000"	"2000"			268	1808344	14.82	14.03
	"West Virginia"	"54"	"2001"	"2001"	"Drug-induced causes"	"D"	217	1801481	12.05	12.06
	"West Virginia"	"54"	"2001"	"2001"	"Alcohol-induced causes"	"A"	132	1801481	7.33	6.67
"Total"	"West Virginia"	"54"	"2001"	"2001"			349	1801481	19.37	18.74
	"West Virginia"	"54"	"2002"	"2002"	"Drug-induced causes"	"D"	237	1805414	13.13	13.34
	"West Virginia"	"54"	"2002"	"2002"	"Alcohol-induced causes"	"A"	128	1805414	7.09	6.46
"Total"	"West Virginia"	"54"	"2002"	"2002"			365	1805414	20.22	19.79
	"West Virginia"	"54"	"2003"	"2003"	"Drug-induced causes"	"D"	279	1812295	15.39	15.95
	"West Virginia"	"54"	"2003"	"2003"	"Alcohol-induced causes"	"A"	155	1812295	8.55	7.55
"Total"	"West Virginia"	"54"	"2003"	"2003"			434	1812295	23.95	23.50
	"West Virginia"	"54"	"2004"	"2004"	"Drug-induced causes"	"D"	347	1816438	19.10	19.54
	"West Virginia"	"54"	"2004"	"2004"	"Alcohol-induced causes"	"A"	134	1816438	7.38	6.45
"Total"	"West Virginia"	"54"	"2004"	"2004"			481	1816438	26.48	25.99
	"West Virginia"	"54"	"2005"	"2005"	"Drug-induced causes"	"D"	197	1820492	10.82	11.14
	"West Virginia"	"54"	"2005"	"2005"	"Alcohol-induced causes"	"A"	112	1820492	6.15	5.31
"Total"	"West Virginia"	"54"	"2005"	"2005"			309	1820492	16.97	16.44
	"West Virginia"	"54"	"2006"	"2006"	"Drug-induced causes"	"D"	378	1827912	20.68	21.22
	"West Virginia"	"54"	"2006"	"2006"	"Alcohol-induced causes"	"A"	137	1827912	7.49	6.65
"Total"	"West Virginia"	"54"	"2006"	"2006"			515	1827912	28.17	27.88
	"West Virginia"	"54"	"2007"	"2007"	"Drug-induced causes"	"D"	405	1834052	22.08	22.89
	"West Virginia"	"54"	"2007"	"2007"	"Alcohol-induced causes"	"A"	165	1834052	9.00	7.75
"Total"	"West Virginia"	"54"	"2007"	"2007"			570	1834052	31.08	30.65
	"West Virginia"	"54"	"2008"	"2008"	"Drug-induced causes"	"D"	468	1840310	25.43	26.22
	"West Virginia"	"54"	"2008"	"2008"	"Alcohol-induced causes"	"A"	132	1840310	7.17	6.25
"Total"	"West Virginia"	"54"	"2008"	"2008"			600	1840310	32.60	32.47
	"West Virginia"	"54"	"2009"	"2009"	"Drug-induced causes"	"D"	235	1847775	12.72	12.89
	"West Virginia"	"54"	"2009"	"2009"	"Alcohol-induced causes"	"A"	141	1847775	7.63	6.36
"Total"	"West Virginia"	"54"	"2009"	"2009"			376	1847775	20.35	19.25
	"West Virginia"	"54"	"2010"	"2010"	"Drug-induced causes"	"D"	520	1852994	28.06	29.30
	"West Virginia"	"54"	"2010"	"2010"	"Alcohol-induced causes"	"A"	139	1852994	7.50	6.26
"Total"	"West Virginia"	"54"	"2010"	"2010"			659	1852994	35.56	35.58
	"West Virginia"	"54"	"2011"	"2011"	"Drug-induced causes"	"D"	645	1855364	34.76	36.77
	"West Virginia"	"54"	"2011"	"2011"	"Alcohol-induced causes"	"A"	168	1855364	9.05	7.65
"Total"	"West Virginia"	"54"	"2011"	"2011"			813	1855364	43.82	44.43
	"West Virginia"	"54"	"2012"	"2012"	"Drug-induced causes"	"D"	576	1855413	31.04	32.94
	"West Virginia"	"54"	"2012"	"2012"	"Alcohol-induced causes"	"A"	170	1855413	9.16	7.93
"Total"	"West Virginia"	"54"	"2012"	"2012"			746	1855413	40.21	40.88
	"West Virginia"	"54"	"2013"	"2013"	"Drug-induced causes"	"D"	583	1854304	31.44	32.91
	"West Virginia"	"54"	"2013"	"2013"	"Alcohol-induced causes"	"A"	160	1854304	8.63	7.25
"Total"	"West Virginia"	"54"	"2013"	"2013"			743	1854304	40.07	40.15
	"West Virginia"	"54"	"2014"	"2014"	"Drug-induced causes"	"D"	646	1850326	34.91	36.44
	"West Virginia"	"54"	"2014"	"2014"	"Alcohol-induced causes"	"A"	195	1850326	10.54	9.28
"Total"	"West Virginia"	"54"	"2014"	"2014"			841	1850326	45.45	45.74
	"West Virginia"	"54"	"2015"	"2015"	"Drug-induced causes"	"D"	750	1844128	40.67	42.90
	"West Virginia"	"54"	"2015"	"2015"	"Alcohol-induced causes"	"A"	193	1844128	10.47	8.45
"Total"	"West Virginia"	"54"	"2015"	"2015"			943	1844128	51.14	51.33
	"West Virginia"	"54"	"2016"	"2016"	"Drug-induced causes"	"D"	912	1831102	49.81	53.66
	"West Virginia"	"54"	"2016"	"2016"	"Alcohol-induced causes"	"A"	232	1831102	12.67	10.63
"Total"	"West Virginia"	"54"	"2016"	"2016"			1144	1831102	62.48	64.28
	"West Virginia"	"54"	"2017"	"2017"	"Drug-induced causes"	"D"	1023	1815857	56.34	60.54
	"West Virginia"	"54"	"2017"	"2017"	"Alcohol-induced causes"	"A"	264	1815857	14.54	11.60
"Total"	"West Virginia"	"54"	"2017"	"2017"			1287	1815857	70.88	72.13
"Total"	"West Virginia"	"54"					11640	34785800	33.46	33.01
	"Wisconsin"	"55"	"1999"	"1999"	"Drug-induced causes"	"D"	237	5332666	4.44	4.43
	"Wisconsin"	"55"	"1999"	"1999"	"Alcohol-induced causes"	"A"	356	5332666	6.68	6.69
"Total"	"Wisconsin"	"55"	"1999"	"1999"			593	5332666	11.12	11.13
	"Wisconsin"	"55"	"2000"	"2000"	"Drug-induced causes"	"D"	278	5363675	5.18	5.16
	"Wisconsin"	"55"	"2000"	"2000"	"Alcohol-induced causes"	"A"	395	5363675	7.36	7.34
"Total"	"Wisconsin"	"55"	"2000"	"2000"			673	5363675	12.55	12.49
	"Wisconsin"	"55"	"2001"	"2001"	"Drug-induced causes"	"D"	297	5406835	5.49	5.44
	"Wisconsin"	"55"	"2001"	"2001"	"Alcohol-induced causes"	"A"	391	5406835	7.23	7.12
"Total"	"Wisconsin"	"55"	"2001"	"2001"			688	5406835	12.72	12.58
	"Wisconsin"	"55"	"2002"	"2002"	"Drug-induced causes"	"D"	364	5445162	6.68	6.64
	"Wisconsin"	"55"	"2002"	"2002"	"Alcohol-induced causes"	"A"	380	5445162	6.98	6.79
"Total"	"Wisconsin"	"55"	"2002"	"2002"			744	5445162	13.66	13.42
	"Wisconsin"	"55"	"2003"	"2003"	"Drug-induced causes"	"D"	433	5479203	7.90	7.90
	"Wisconsin"	"55"	"2003"	"2003"	"Alcohol-induced causes"	"A"	417	5479203	7.61	7.34
"Total"	"Wisconsin"	"55"	"2003"	"2003"			850	5479203	15.51	15.22
	"Wisconsin"	"55"	"2004"	"2004"	"Drug-induced causes"	"D"	483	5514026	8.76	8.64
	"Wisconsin"	"55"	"2004"	"2004"	"Alcohol-induced causes"	"A"	417	5514026	7.56	7.23
"Total"	"Wisconsin"	"55"	"2004"	"2004"			900	5514026	16.32	15.88
	"Wisconsin"	"55"	"2005"	"2005"	"Drug-induced causes"	"D"	561	5546166	10.12	10.07
	"Wisconsin"	"55"	"2005"	"2005"	"Alcohol-induced causes"	"A"	468	5546166	8.44	7.91
"Total"	"Wisconsin"	"55"	"2005"	"2005"			1029	5546166	18.55	17.97
	"Wisconsin"	"55"	"2006"	"2006"	"Drug-induced causes"	"D"	642	5577655	11.51	11.49
	"Wisconsin"	"55"	"2006"	"2006"	"Alcohol-induced causes"	"A"	424	5577655	7.60	7.10
"Total"	"Wisconsin"	"55"	"2006"	"2006"			1066	5577655	19.11	18.55
	"Wisconsin"	"55"	"2007"	"2007"	"Drug-induced causes"	"D"	639	5610775	11.39	11.36
	"Wisconsin"	"55"	"2007"	"2007"	"Alcohol-induced causes"	"A"	489	5610775	8.72	7.95
"Total"	"Wisconsin"	"55"	"2007"	"2007"			1128	5610775	20.10	19.31
	"Wisconsin"	"55"	"2008"	"2008"	"Drug-induced causes"	"D"	622	5640996	11.03	10.88
	"Wisconsin"	"55"	"2008"	"2008"	"Alcohol-induced causes"	"A"	463	5640996	8.21	7.43
"Total"	"Wisconsin"	"55"	"2008"	"2008"			1085	5640996	19.23	18.31
	"Wisconsin"	"55"	"2009"	"2009"	"Drug-induced causes"	"D"	641	5669264	11.31	11.11
	"Wisconsin"	"55"	"2009"	"2009"	"Alcohol-induced causes"	"A"	469	5669264	8.27	7.33
"Total"	"Wisconsin"	"55"	"2009"	"2009"			1110	5669264	19.58	18.42
	"Wisconsin"	"55"	"2010"	"2010"	"Drug-induced causes"	"D"	635	5686986	11.17	11.02
	"Wisconsin"	"55"	"2010"	"2010"	"Alcohol-induced causes"	"A"	500	5686986	8.79	7.81
"Total"	"Wisconsin"	"55"	"2010"	"2010"			1135	5686986	19.96	18.80
	"Wisconsin"	"55"	"2011"	"2011"	"Drug-induced causes"	"D"	712	5711767	12.47	12.34
	"Wisconsin"	"55"	"2011"	"2011"	"Alcohol-induced causes"	"A"	506	5711767	8.86	7.79
"Total"	"Wisconsin"	"55"	"2011"	"2011"			1218	5711767	21.32	20.11
	"Wisconsin"	"55"	"2012"	"2012"	"Drug-induced causes"	"D"	714	5726398	12.47	12.59
	"Wisconsin"	"55"	"2012"	"2012"	"Alcohol-induced causes"	"A"	557	5726398	9.73	8.58
"Total"	"Wisconsin"	"55"	"2012"	"2012"			1271	5726398	22.20	21.16
	"Wisconsin"	"55"	"2013"	"2013"	"Drug-induced causes"	"D"	874	5742713	15.22	15.34
	"Wisconsin"	"55"	"2013"	"2013"	"Alcohol-induced causes"	"A"	584	5742713	10.17	8.89
"Total"	"Wisconsin"	"55"	"2013"	"2013"			1458	5742713	25.39	24.23
	"Wisconsin"	"55"	"2014"	"2014"	"Drug-induced causes"	"D"	874	5757564	15.18	15.40
	"Wisconsin"	"55"	"2014"	"2014"	"Alcohol-induced causes"	"A"	630	5757564	10.94	9.29
"Total"	"Wisconsin"	"55"	"2014"	"2014"			1504	5757564	26.12	24.68
	"Wisconsin"	"55"	"2015"	"2015"	"Drug-induced causes"	"D"	894	5771337	15.49	15.72
	"Wisconsin"	"55"	"2015"	"2015"	"Alcohol-induced causes"	"A"	638	5771337	11.05	9.35
"Total"	"Wisconsin"	"55"	"2015"	"2015"			1532	5771337	26.54	25.06
	"Wisconsin"	"55"	"2016"	"2016"	"Drug-induced causes"	"D"	1103	5778708	19.09	19.84
	"Wisconsin"	"55"	"2016"	"2016"	"Alcohol-induced causes"	"A"	743	5778708	12.86	10.67
"Total"	"Wisconsin"	"55"	"2016"	"2016"			1846	5778708	31.94	30.48
	"Wisconsin"	"55"	"2017"	"2017"	"Drug-induced causes"	"D"	1205	5795483	20.79	21.63
	"Wisconsin"	"55"	"2017"	"2017"	"Alcohol-induced causes"	"A"	780	5795483	13.46	11.16
"Total"	"Wisconsin"	"55"	"2017"	"2017"			1985	5795483	34.25	32.80
"Total"	"Wisconsin"	"55"					21815	106557379	20.47	19.68
	"Wyoming"	"56"	"1999"	"1999"	"Drug-induced causes"	"D"	21	491780	4.27	4.29
	"Wyoming"	"56"	"1999"	"1999"	"Alcohol-induced causes"	"A"	60	491780	12.20	12.08
"Total"	"Wyoming"	"56"	"1999"	"1999"			81	491780	16.47	16.40
	"Wyoming"	"56"	"2000"	"2000"	"Drug-induced causes"	"D"	27	493782	5.47	5.72
	"Wyoming"	"56"	"2000"	"2000"	"Alcohol-induced causes"	"A"	64	493782	12.96	12.61
"Total"	"Wyoming"	"56"	"2000"	"2000"			91	493782	18.43	18.32
	"Wyoming"	"56"	"2001"	"2001"	"Drug-induced causes"	"D"	25	494657	5.05	5.08
	"Wyoming"	"56"	"2001"	"2001"	"Alcohol-induced causes"	"A"	57	494657	11.52	11.14
"Total"	"Wyoming"	"56"	"2001"	"2001"			82	494657	16.58	16.22
	"Wyoming"	"56"	"2002"	"2002"	"Drug-induced causes"	"D"	36	500017	7.20	7.37
	"Wyoming"	"56"	"2002"	"2002"	"Alcohol-induced causes"	"A"	76	500017	15.20	14.49
"Total"	"Wyoming"	"56"	"2002"	"2002"			112	500017	22.40	21.85
	"Wyoming"	"56"	"2003"	"2003"	"Drug-induced causes"	"D"	37	503453	7.35	7.30
	"Wyoming"	"56"	"2003"	"2003"	"Alcohol-induced causes"	"A"	60	503453	11.92	11.37
"Total"	"Wyoming"	"56"	"2003"	"2003"			97	503453	19.27	18.65
	"Wyoming"	"56"	"2004"	"2004"	"Drug-induced causes"	"D"	64	509106	12.57	12.66
	"Wyoming"	"56"	"2004"	"2004"	"Alcohol-induced causes"	"A"	67	509106	13.16	12.19
"Total"	"Wyoming"	"56"	"2004"	"2004"			131	509106	25.73	24.81
	"Wyoming"	"56"	"2005"	"2005"	"Drug-induced causes"	"D"	45	514157	8.75	8.42
	"Wyoming"	"56"	"2005"	"2005"	"Alcohol-induced causes"	"A"	64	514157	12.45	11.56
"Total"	"Wyoming"	"56"	"2005"	"2005"			109	514157	21.20	19.98
	"Wyoming"	"56"	"2006"	"2006"	"Drug-induced causes"	"D"	64	522667	12.24	12.15
	"Wyoming"	"56"	"2006"	"2006"	"Alcohol-induced causes"	"A"	88	522667	16.84	15.64
"Total"	"Wyoming"	"56"	"2006"	"2006"			152	522667	29.08	27.82
	"Wyoming"	"56"	"2007"	"2007"	"Drug-induced causes"	"D"	68	534876	12.71	13.15
	"Wyoming"	"56"	"2007"	"2007"	"Alcohol-induced causes"	"A"	88	534876	16.45	15.17
"Total"	"Wyoming"	"56"	"2007"	"2007"			156	534876	29.17	28.32
	"Wyoming"	"56"	"2008"	"2008"	"Drug-induced causes"	"D"	74	546043	13.55	14.05
	"Wyoming"	"56"	"2008"	"2008"	"Alcohol-induced causes"	"A"	89	546043	16.30	15.32
"Total"	"Wyoming"	"56"	"2008"	"2008"			163	546043	29.85	29.36
	"Wyoming"	"56"	"2009"	"2009"	"Drug-induced causes"	"D"	63	559851	11.25	11.53
	"Wyoming"	"56"	"2009"	"2009"	"Alcohol-induced causes"	"A"	65	559851	11.61	10.46
"Total"	"Wyoming"	"56"	"2009"	"2009"			128	559851	22.86	21.99
	"Wyoming"	"56"	"2010"	"2010"	"Drug-induced causes"	"D"	88	563626	15.61	15.50
	"Wyoming"	"56"	"2010"	"2010"	"Alcohol-induced causes"	"A"	80	563626	14.19	13.47
"Total"	"Wyoming"	"56"	"2010"	"2010"			168	563626	29.81	28.97
	"Wyoming"	"56"	"2011"	"2011"	"Drug-induced causes"	"D"	88	568158	15.49	15.66
	"Wyoming"	"56"	"2011"	"2011"	"Alcohol-induced causes"	"A"	91	568158	16.02	15.33
"Total"	"Wyoming"	"56"	"2011"	"2011"			179	568158	31.51	30.98
	"Wyoming"	"56"	"2012"	"2012"	"Drug-induced causes"	"D"	99	576412	17.18	16.91
	"Wyoming"	"56"	"2012"	"2012"	"Alcohol-induced causes"	"A"	107	576412	18.56	17.04
"Total"	"Wyoming"	"56"	"2012"	"2012"			206	576412	35.74	33.95
	"Wyoming"	"56"	"2013"	"2013"	"Drug-induced causes"	"D"	99	582658	16.99	17.42
	"Wyoming"	"56"	"2013"	"2013"	"Alcohol-induced causes"	"A"	105	582658	18.02	16.34
"Total"	"Wyoming"	"56"	"2013"	"2013"			204	582658	35.01	33.76
	"Wyoming"	"56"	"2014"	"2014"	"Drug-induced causes"	"D"	112	584153	19.17	19.93
	"Wyoming"	"56"	"2014"	"2014"	"Alcohol-induced causes"	"A"	103	584153	17.63	16.70
"Total"	"Wyoming"	"56"	"2014"	"2014"			215	584153	36.81	36.62
	"Wyoming"	"56"	"2015"	"2015"	"Drug-induced causes"	"D"	99	586107	16.89	16.83
	"Wyoming"	"56"	"2015"	"2015"	"Alcohol-induced causes"	"A"	152	586107	25.93	24.43
"Total"	"Wyoming"	"56"	"2015"	"2015"			251	586107	42.82	41.28
	"Wyoming"	"56"	"2016"	"2016"	"Drug-induced causes"	"D"	103	585501	17.59	18.32
	"Wyoming"	"56"	"2016"	"2016"	"Alcohol-induced causes"	"A"	139	585501	23.74	22.15
"Total"	"Wyoming"	"56"	"2016"	"2016"			242	585501	41.33	40.47
	"Wyoming"	"56"	"2017"	"2017"	"Drug-induced causes"	"D"	72	579315	12.43	12.75
	"Wyoming"	"56"	"2017"	"2017"	"Alcohol-induced causes"	"A"	135	579315	23.30	20.25
"Total"	"Wyoming"	"56"	"2017"	"2017"			207	579315	35.73	33.00
"Total"	"Wyoming"	"56"					2974	10296319	28.88	27.86
"Total"							1235245	5761465567	21.44	20.85
"---"
"Dataset: Underlying Cause of Death, 1999-2017"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Drug-induced causes; Alcohol-induced causes"
"Group By: State; Year; Drug/Alcohol Induced"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jan 20, 2019 1:03:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Jan 20, 2019 1:03:32 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
